iter	Passed	Remaining
217	665	2385
218	667	2380
219	669	2374
220	671	2367
221	673	2361
222	676	2356
223	678	2349
224	680	2343
225	682	2337
226	684	2332
227	687	2327
228	689	2320
229	691	2316
230	694	2310
231	696	2305
232	698	2298
233	700	2294
234	703	2288
235	704	2282
236	707	2276
237	709	2270
238	711	2264
239	713	2259
240	715	2254
241	718	2250
242	720	2244
243	722	2238
244	725	2234
245	727	2229
246	729	2224
247	732	2219
248	734	2215
249	736	2210
250	738	2205
251	741	2201
252	744	2197
253	746	2192
254	749	2189
255	751	2184
256	753	2178
257	755	2174
258	758	2169
259	760	2164
260	762	2159
261	765	2155
262	768	2152
263	770	2147
264	773	2144
265	775	2139
266	777	2134
267	780	2131
268	782	2126
269	784	2121
270	786	2116
271	789	2112
272	791	2107
273	793	2102
274	795	2096
275	797	2092
276	799	2086
277	801	2081
278	803	2077
279	806	2073
280	808	2068
281	810	2063
282	813	2060
283	815	2055
284	817	2050
285	819	2045
286	821	2040
287	823	2036
288	825	2031
289	827	2026
290	830	2022
291	832	2017
292	834	2012
293	836	2008
294	838	2004
295	841	2000
296	843	1996
297	845	1992
298	863	2023
299	865	2019
300	867	2013
301	869	2010
302	872	2005
303	874	2001
304	876	1997
305	879	1993
306	881	1989
307	883	1984
308	885	1980
309	887	1976
310	889	1971
311	892	1968
312	895	1964
313	897	1960
314	899	1955
315	902	1953
316	905	1949
317	907	1945
318	909	1941
319	911	1937
320	914	1933
321	916	1928
322	918	1925
323	920	1920
324	922	1916
325	924	1912
326	927	1908
327	929	1903
328	931	1899
329	933	1895
330	936	1892
331	938	1887
332	940	1884
333	943	1880
334	945	1876
335	947	1872
336	949	1868
337	952	1864
338	954	1860
339	956	1855
340	958	1851
341	960	1848
342	962	1844
343	965	1841
344	968	1839
345	970	1835
346	973	1832
347	976	1828
348	978	1825
349	981	1822
350	983	1819
351	986	1815
352	988	1811
353	991	1808
354	993	1804
355	995	1800
356	997	1797
357	1000	1794
358	1002	1790
359	1005	1787
360	1008	1784
361	1010	1780
362	1012	1776
363	1014	1773
364	1016	1769
365	1019	1765
366	1021	1762
367	1023	1758
368	1025	1754
369	1028	1750
370	1030	1746
371	1032	1743
372	1034	1739
373	1037	1735
374	1039	1732
375	1041	1729
376	1043	1725
377	1046	1721
378	1048	1718
379	1050	1714
380	1053	1711
381	1055	1707
382	1057	1704
383	1059	1700
384	1061	1696
385	1073	1708
386	1075	1704
387	1078	1701
388	1080	1697
389	1083	1694
390	1086	1691
391	1089	1689
392	1091	1685
393	1094	1682
394	1096	1679
395	1098	1675
396	1101	1672
397	1104	1669
398	1106	1666
399	1108	1663
400	1111	1660
401	1113	1656
402	1116	1653
403	1118	1650
404	1120	1646
405	1122	1642
406	1125	1639
407	1127	1636
408	1129	1632
409	1132	1629
410	1134	1625
411	1136	1622
412	1138	1618
413	1141	1615
414	1143	1611
415	1145	1608
416	1147	1604
417	1150	1601
418	1152	1597
419	1154	1593
420	1156	1590
421	1158	1586
422	1160	1583
423	1162	1579
424	1165	1577
425	1167	1573
426	1170	1570
427	1172	1566
428	1174	1563
429	1176	1559
430	1178	1556
431	1180	1552
432	1183	1549
433	1185	1545
434	1187	1541
435	1189	1538
436	1192	1536
437	1194	1532
438	1196	1528
439	1198	1525
440	1200	1522
441	1202	1518
442	1205	1515
