iter	Logloss
0	0.688763893
1	0.683762777
2	0.6785010033
3	0.6729764892
4	0.669396634
5	0.6655104214
6	0.6618946468
7	0.6583248278
8	0.6551884885
9	0.6513088775
10	0.6479270013
11	0.6445619091
12	0.6407274769
13	0.6380312436
14	0.6363534775
15	0.6340796404
16	0.6314014111
17	0.6290789746
18	0.6269137735
19	0.6243664595
20	0.6227815922
21	0.6210787759
22	0.6184209443
23	0.6163704051
24	0.6149463999
25	0.613178643
26	0.6099628543
27	0.6078957316
28	0.6051222446
29	0.603363527
30	0.6019633073
31	0.6005718422
32	0.5995447802
33	0.5977711628
34	0.5959631403
35	0.5946295634
36	0.592812842
37	0.5915550464
38	0.5891652288
39	0.5865826208
40	0.5849769249
41	0.5832303288
42	0.5814556115
43	0.5798777472
44	0.5788646293
45	0.5769557743
46	0.5757306649
47	0.5740793381
48	0.57272685
49	0.5713240374
50	0.56941894
51	0.567979656
52	0.5661649874
53	0.565040554
54	0.5632535279
55	0.5615911594
56	0.5598675848
57	0.5587419237
58	0.5577161871
59	0.5566405429
60	0.5554092108
61	0.5545260719
62	0.552881242
63	0.5519435857
64	0.5507040975
65	0.548411164
66	0.5468950221
67	0.5451779846
68	0.5442994743
69	0.5429206823
70	0.5420624389
71	0.5411818871
72	0.5398964377
73	0.5384802015
74	0.5374365755
75	0.5362115605
76	0.5350989308
77	0.5336732965
78	0.5323245538
79	0.5302255012
80	0.5289569853
81	0.5274480133
82	0.5263020003
83	0.5243936488
84	0.5233237871
85	0.52089832
86	0.519648442
87	0.5185112623
88	0.5169708366
89	0.5144639973
90	0.5130538382
91	0.5111894505
92	0.5097500075
93	0.5086254718
94	0.5071651353
95	0.5057445944
96	0.5039683232
97	0.5020370565
98	0.5002002867
99	0.4986719796
100	0.4968843144
101	0.4950985342
102	0.493814265
103	0.4917421556
104	0.4900238923
105	0.4878426523
106	0.4858134522
107	0.4835494778
108	0.4814679805
109	0.4799556781
110	0.4781195007
111	0.4762299115
112	0.4745307267
113	0.4732396576
114	0.4711303486
115	0.469245257
116	0.4672463212
117	0.4660236697
118	0.4641248809
119	0.4626062078
120	0.4605675856
121	0.4578109856
122	0.45702777
123	0.4561184665
124	0.4545294127
125	0.4531189577
126	0.4512180775
127	0.4501706031
128	0.4490658751
129	0.4470975996
130	0.4456702388
131	0.4448232878
132	0.4431668619
133	0.4416125849
134	0.4397591809
135	0.4378390338
136	0.4361759477
137	0.434867726
138	0.4330439724
139	0.4316894528
140	0.429141316
141	0.4276246494
142	0.426835662
143	0.4255328396
144	0.4239388373
145	0.4227779788
146	0.4215537676
147	0.4206005986
148	0.4195433752
149	0.417997303
150	0.4162984233
151	0.4156151854
152	0.4145394151
153	0.4129208638
154	0.4113218315
155	0.4099587979
156	0.4087846198
157	0.4073838024
158	0.4060189721
159	0.4050868042
160	0.4040196261
161	0.4027561403
162	0.4012756933
163	0.40010201
164	0.398890373
165	0.3973841934
166	0.3964904727
167	0.3949349852
168	0.3939227587
169	0.392623852
170	0.3916441262
171	0.3905324592
172	0.3887771163
173	0.3878727375
174	0.3865415562
175	0.3854061719
176	0.3842552708
177	0.383223675
178	0.3820880333
179	0.3810535661
180	0.3801053528
181	0.3788908676
182	0.3774463234
183	0.3758370346
184	0.3747577741
185	0.3740876629
186	0.3728595906
187	0.371473459
188	0.3703053018
189	0.3690006047
190	0.368249389
191	0.3672832734
192	0.3663852766
193	0.365209783
194	0.3644372452
195	0.363017963
196	0.3619089408
197	0.3612014838
198	0.3598011824
199	0.358913205
200	0.358019689
201	0.3568520121
202	0.3560060919
203	0.3549860116
204	0.3533022656
205	0.3519908553
206	0.3507208846
207	0.3493835181
208	0.3483163371
209	0.3470107838
210	0.3458510896
211	0.3450554126
212	0.3445824053
213	0.3438172434
214	0.3425815694
215	0.3417539088
216	0.3409260514
217	0.3397227942
218	0.3386759162
219	0.3380296264
220	0.33715088
221	0.3365049214
222	0.3353519661
223	0.3347968302
224	0.3339732834
225	0.3328008852
226	0.3319471924
227	0.3312087735
228	0.3289633431
229	0.3276650288
230	0.3265403783
231	0.3243269089
232	0.3237381257
233	0.3225428229
234	0.3219393039
235	0.3206835224
236	0.3196361378
237	0.3189427791
238	0.3182927819
239	0.3168726145
240	0.3160826088
241	0.3150287281
242	0.3143172299
243	0.3131569806
244	0.3124246937
245	0.3112489091
246	0.3105350619
247	0.3096180006
248	0.3082923947
249	0.3072818705
250	0.3067449543
251	0.30543122
252	0.3045362695
253	0.3032887322
254	0.3027867243
255	0.3019924529
256	0.3011636662
257	0.300054995
